ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
2056,"NOR(NAND(NOT(NAND(A, B)), D), E)","[1, 0, 0, 1, 1]",NOR -> NAND -> NOT -> NAND,5.5,9,4,0
2057,"NOR(NAND(NOT(NOR(A, B)), D), E)","[0, 0, 1, 1, 1]",NOR -> NAND -> NOT -> NOR,5.5,9,4,0
2058,"NOR(NAND(NOT(XNOR(A, B)), D), E)","[0, 1, 0, 1, 1]",NOR -> NAND -> NOT -> XNOR,6.5,10,4,0
2059,"NOR(NAND(BUFFER(AND(A, B)), D), E)","[1, 1, 1, 1, 1]",NOR -> NAND -> BUFFER -> AND,5.2,8.5,4,0
2060,"NOR(NAND(BUFFER(OR(A, B)), D), E)","[1, 0, 1, 1, 1]",NOR -> NAND -> BUFFER -> OR,5.2,8.5,4,0
2061,"NOR(NAND(BUFFER(XOR(A, B)), D), E)","[1, 0, 0, 0, 1]",NOR -> NAND -> BUFFER -> XOR,5.7,9,4,0
2062,"NOR(NAND(BUFFER(NAND(A, B)), D), E)","[0, 1, 0, 0, 0]",NOR -> NAND -> BUFFER -> NAND,4.7,8,4,0
2063,"NOR(NAND(BUFFER(NOR(A, B)), D), E)","[1, 0, 1, 1, 1]",NOR -> NAND -> BUFFER -> NOR,4.7,8,4,0
2064,"NOR(NAND(BUFFER(XNOR(A, B)), D), E)","[1, 1, 1, 0, 1]",NOR -> NAND -> BUFFER -> XNOR,5.7,9,4,0
2065,"NOR(NOR(AND(AND(A, B), C), D), E)","[0, 1, 0, 0, 1]",NOR -> NOR -> AND -> AND,7,11,4,0
2066,"NOR(NOR(AND(OR(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NOR -> AND -> OR,7,11,4,1
2067,"NOR(NOR(AND(XOR(A, B), C), D), E)","[0, 0, 1, 0, 0]",NOR -> NOR -> AND -> XOR,7.5,11.5,4,0
2068,"NOR(NOR(AND(NAND(A, B), C), D), E)","[0, 1, 0, 1, 1]",NOR -> NOR -> AND -> NAND,6.5,10.5,4,0
2069,"NOR(NOR(AND(NOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NOR -> AND -> NOR,6.5,10.5,4,0
2070,"NOR(NOR(AND(XNOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",NOR -> NOR -> AND -> XNOR,7.5,11.5,4,1
2071,"NOR(NOR(AND(NOT(A), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NOR -> AND -> NOT,6,9.5,4,0
2072,"NOR(NOR(AND(BUFFER(A), C), D), E)","[1, 0, 1, 0, 1]",NOR -> NOR -> AND -> BUFFER,5.2,8.5,4,0
2073,"NOR(NOR(OR(AND(A, B), C), D), E)","[1, 1, 0, 1, 0]",NOR -> NOR -> OR -> AND,7,11,4,1
2074,"NOR(NOR(OR(OR(A, B), C), D), E)","[0, 0, 0, 0, 0]",NOR -> NOR -> OR -> OR,7,11,4,0
2075,"NOR(NOR(OR(XOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",NOR -> NOR -> OR -> XOR,7.5,11.5,4,0
2076,"NOR(NOR(OR(NAND(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> NOR -> OR -> NAND,6.5,10.5,4,0
2077,"NOR(NOR(OR(NOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> NOR -> OR -> NOR,6.5,10.5,4,0
2078,"NOR(NOR(OR(XNOR(A, B), C), D), E)","[0, 0, 1, 1, 1]",NOR -> NOR -> OR -> XNOR,7.5,11.5,4,0
2079,"NOR(NOR(OR(NOT(A), C), D), E)","[0, 1, 1, 0, 0]",NOR -> NOR -> OR -> NOT,6,9.5,4,1
2080,"NOR(NOR(OR(BUFFER(A), C), D), E)","[0, 1, 1, 1, 0]",NOR -> NOR -> OR -> BUFFER,5.2,8.5,4,1
2081,"NOR(NOR(XOR(AND(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> NOR -> XOR -> AND,7.5,11.5,4,0
2082,"NOR(NOR(XOR(OR(A, B), C), D), E)","[0, 1, 0, 1, 0]",NOR -> NOR -> XOR -> OR,7.5,11.5,4,1
2083,"NOR(NOR(XOR(XOR(A, B), C), D), E)","[0, 0, 1, 1, 1]",NOR -> NOR -> XOR -> XOR,8,12,4,0
2084,"NOR(NOR(XOR(NAND(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NOR -> XOR -> NAND,7,11,4,0
2085,"NOR(NOR(XOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NOR -> XOR -> NOR,7,11,4,0
2086,"NOR(NOR(XOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",NOR -> NOR -> XOR -> XNOR,8,12,4,1
2087,"NOR(NOR(XOR(NOT(A), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NOR -> XOR -> NOT,6.5,10,4,0
2088,"NOR(NOR(XOR(BUFFER(A), C), D), E)","[1, 0, 1, 0, 1]",NOR -> NOR -> XOR -> BUFFER,5.7,9,4,0
2089,"NOR(NOR(NAND(AND(A, B), C), D), E)","[1, 0, 0, 0, 0]",NOR -> NOR -> NAND -> AND,6.5,10.5,4,1
2090,"NOR(NOR(NAND(OR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NOR -> NAND -> OR,6.5,10.5,4,0
2091,"NOR(NOR(NAND(XOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",NOR -> NOR -> NAND -> XOR,7,11,4,1
2092,"NOR(NOR(NAND(NAND(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> NOR -> NAND -> NAND,6,10,4,1
2093,"NOR(NOR(NAND(NOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",NOR -> NOR -> NAND -> NOR,6,10,4,0
2094,"NOR(NOR(NAND(XNOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",NOR -> NOR -> NAND -> XNOR,7,11,4,0
2095,"NOR(NOR(NAND(NOT(A), C), D), E)","[0, 0, 0, 1, 0]",NOR -> NOR -> NAND -> NOT,5.5,9,4,1
2096,"NOR(NOR(NAND(BUFFER(A), C), D), E)","[1, 1, 0, 1, 0]",NOR -> NOR -> NAND -> BUFFER,4.7,8,4,1
2097,"NOR(NOR(NOR(AND(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NOR -> NOR -> AND,6.5,10.5,4,1
2098,"NOR(NOR(NOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> NOR -> NOR -> OR,6.5,10.5,4,0
2099,"NOR(NOR(NOR(XOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",NOR -> NOR -> NOR -> XOR,7,11,4,1
2100,"NOR(NOR(NOR(NAND(A, B), C), D), E)","[1, 0, 1, 1, 0]",NOR -> NOR -> NOR -> NAND,6,10,4,1
2101,"NOR(NOR(NOR(NOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",NOR -> NOR -> NOR -> NOR,6,10,4,0
2102,"NOR(NOR(NOR(XNOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",NOR -> NOR -> NOR -> XNOR,7,11,4,0
2103,"NOR(NOR(NOR(NOT(A), C), D), E)","[1, 0, 1, 1, 1]",NOR -> NOR -> NOR -> NOT,5.5,9,4,0
2104,"NOR(NOR(NOR(BUFFER(A), C), D), E)","[0, 0, 0, 0, 1]",NOR -> NOR -> NOR -> BUFFER,4.7,8,4,0
2105,"NOR(NOR(XNOR(AND(A, B), C), D), E)","[0, 0, 1, 0, 0]",NOR -> NOR -> XNOR -> AND,7.5,11.5,4,0
2106,"NOR(NOR(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> NOR -> XNOR -> OR,7.5,11.5,4,0
2107,"NOR(NOR(XNOR(XOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> NOR -> XNOR -> XOR,8,12,4,1
2108,"NOR(NOR(XNOR(NAND(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> NOR -> XNOR -> NAND,7,11,4,0
2109,"NOR(NOR(XNOR(NOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> NOR -> XNOR -> NOR,7,11,4,0
2110,"NOR(NOR(XNOR(XNOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",NOR -> NOR -> XNOR -> XNOR,8,12,4,0
2111,"NOR(NOR(XNOR(NOT(A), C), D), E)","[1, 0, 0, 0, 0]",NOR -> NOR -> XNOR -> NOT,6.5,10,4,1
2112,"NOR(NOR(XNOR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 1]",NOR -> NOR -> XNOR -> BUFFER,5.7,9,4,0
2113,"NOR(NOR(NOT(AND(A, B)), D), E)","[0, 0, 1, 1, 1]",NOR -> NOR -> NOT -> AND,6,9.5,4,0
2114,"NOR(NOR(NOT(OR(A, B)), D), E)","[0, 1, 0, 0, 0]",NOR -> NOR -> NOT -> OR,6,9.5,4,0
2115,"NOR(NOR(NOT(XOR(A, B)), D), E)","[1, 1, 1, 0, 0]",NOR -> NOR -> NOT -> XOR,6.5,10,4,1
2116,"NOR(NOR(NOT(NAND(A, B)), D), E)","[0, 0, 1, 1, 0]",NOR -> NOR -> NOT -> NAND,5.5,9,4,1
2117,"NOR(NOR(NOT(NOR(A, B)), D), E)","[0, 0, 0, 1, 0]",NOR -> NOR -> NOT -> NOR,5.5,9,4,1
2118,"NOR(NOR(NOT(XNOR(A, B)), D), E)","[1, 1, 1, 0, 0]",NOR -> NOR -> NOT -> XNOR,6.5,10,4,0
2119,"NOR(NOR(BUFFER(AND(A, B)), D), E)","[0, 0, 1, 0, 1]",NOR -> NOR -> BUFFER -> AND,5.2,8.5,4,0
2120,"NOR(NOR(BUFFER(OR(A, B)), D), E)","[1, 0, 0, 1, 1]",NOR -> NOR -> BUFFER -> OR,5.2,8.5,4,0
2121,"NOR(NOR(BUFFER(XOR(A, B)), D), E)","[0, 1, 1, 1, 1]",NOR -> NOR -> BUFFER -> XOR,5.7,9,4,0
2122,"NOR(NOR(BUFFER(NAND(A, B)), D), E)","[1, 1, 1, 0, 1]",NOR -> NOR -> BUFFER -> NAND,4.7,8,4,0
2123,"NOR(NOR(BUFFER(NOR(A, B)), D), E)","[1, 1, 0, 1, 0]",NOR -> NOR -> BUFFER -> NOR,4.7,8,4,1
2124,"NOR(NOR(BUFFER(XNOR(A, B)), D), E)","[1, 0, 0, 1, 0]",NOR -> NOR -> BUFFER -> XNOR,5.7,9,4,1
2125,"NOR(XNOR(AND(AND(A, B), C), D), E)","[1, 1, 1, 0, 0]",NOR -> XNOR -> AND -> AND,8,12,4,1
2126,"NOR(XNOR(AND(OR(A, B), C), D), E)","[0, 0, 1, 0, 0]",NOR -> XNOR -> AND -> OR,8,12,4,0
2127,"NOR(XNOR(AND(XOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> XNOR -> AND -> XOR,8.5,12.5,4,0
2128,"NOR(XNOR(AND(NAND(A, B), C), D), E)","[1, 1, 0, 1, 0]",NOR -> XNOR -> AND -> NAND,7.5,11.5,4,1
2129,"NOR(XNOR(AND(NOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",NOR -> XNOR -> AND -> NOR,7.5,11.5,4,0
2130,"NOR(XNOR(AND(XNOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",NOR -> XNOR -> AND -> XNOR,8.5,12.5,4,0
2131,"NOR(XNOR(AND(NOT(A), C), D), E)","[0, 1, 0, 0, 0]",NOR -> XNOR -> AND -> NOT,7,10.5,4,0
2132,"NOR(XNOR(AND(BUFFER(A), C), D), E)","[0, 0, 0, 0, 1]",NOR -> XNOR -> AND -> BUFFER,6.2,9.5,4,0
2133,"NOR(XNOR(OR(AND(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> XNOR -> OR -> AND,8,12,4,0
2134,"NOR(XNOR(OR(OR(A, B), C), D), E)","[1, 1, 1, 1, 1]",NOR -> XNOR -> OR -> OR,8,12,4,0
2135,"NOR(XNOR(OR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",NOR -> XNOR -> OR -> XOR,8.5,12.5,4,1
2136,"NOR(XNOR(OR(NAND(A, B), C), D), E)","[0, 1, 1, 0, 0]",NOR -> XNOR -> OR -> NAND,7.5,11.5,4,1
2137,"NOR(XNOR(OR(NOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",NOR -> XNOR -> OR -> NOR,7.5,11.5,4,0
2138,"NOR(XNOR(OR(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 1]",NOR -> XNOR -> OR -> XNOR,8.5,12.5,4,0
2139,"NOR(XNOR(OR(NOT(A), C), D), E)","[0, 0, 1, 1, 1]",NOR -> XNOR -> OR -> NOT,7,10.5,4,0
2140,"NOR(XNOR(OR(BUFFER(A), C), D), E)","[0, 0, 1, 0, 0]",NOR -> XNOR -> OR -> BUFFER,6.2,9.5,4,1
2141,"NOR(XNOR(XOR(AND(A, B), C), D), E)","[1, 1, 1, 1, 1]",NOR -> XNOR -> XOR -> AND,8.5,12.5,4,0
2142,"NOR(XNOR(XOR(OR(A, B), C), D), E)","[1, 0, 0, 0, 0]",NOR -> XNOR -> XOR -> OR,8.5,12.5,4,1
2143,"NOR(XNOR(XOR(XOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",NOR -> XNOR -> XOR -> XOR,9,13,4,0
2144,"NOR(XNOR(XOR(NAND(A, B), C), D), E)","[1, 0, 1, 1, 0]",NOR -> XNOR -> XOR -> NAND,8,12,4,1
2145,"NOR(XNOR(XOR(NOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> XNOR -> XOR -> NOR,8,12,4,0
2146,"NOR(XNOR(XOR(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",NOR -> XNOR -> XOR -> XNOR,9,13,4,0
2147,"NOR(XNOR(XOR(NOT(A), C), D), E)","[0, 1, 1, 1, 0]",NOR -> XNOR -> XOR -> NOT,7.5,11,4,1
2148,"NOR(XNOR(XOR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 0]",NOR -> XNOR -> XOR -> BUFFER,6.7,10,4,0
2149,"NOR(XNOR(NAND(AND(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> XNOR -> NAND -> AND,7.5,11.5,4,0
2150,"NOR(XNOR(NAND(OR(A, B), C), D), E)","[0, 1, 0, 1, 1]",NOR -> XNOR -> NAND -> OR,7.5,11.5,4,0
2151,"NOR(XNOR(NAND(XOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> XNOR -> NAND -> XOR,8,12,4,0
2152,"NOR(XNOR(NAND(NAND(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> XNOR -> NAND -> NAND,7,11,4,0
2153,"NOR(XNOR(NAND(NOR(A, B), C), D), E)","[1, 1, 0, 1, 1]",NOR -> XNOR -> NAND -> NOR,7,11,4,0
2154,"NOR(XNOR(NAND(XNOR(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> XNOR -> NAND -> XNOR,8,12,4,0
2155,"NOR(XNOR(NAND(NOT(A), C), D), E)","[1, 0, 1, 0, 0]",NOR -> XNOR -> NAND -> NOT,6.5,10,4,1
2156,"NOR(XNOR(NAND(BUFFER(A), C), D), E)","[0, 0, 1, 1, 0]",NOR -> XNOR -> NAND -> BUFFER,5.7,9,4,0
2157,"NOR(XNOR(NOR(AND(A, B), C), D), E)","[1, 0, 0, 1, 1]",NOR -> XNOR -> NOR -> AND,7.5,11.5,4,0
2158,"NOR(XNOR(NOR(OR(A, B), C), D), E)","[0, 0, 1, 1, 0]",NOR -> XNOR -> NOR -> OR,7.5,11.5,4,1
2159,"NOR(XNOR(NOR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 1]",NOR -> XNOR -> NOR -> XOR,8,12,4,0
2160,"NOR(XNOR(NOR(NAND(A, B), C), D), E)","[0, 1, 1, 1, 1]",NOR -> XNOR -> NOR -> NAND,7,11,4,0
2161,"NOR(XNOR(NOR(NOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",NOR -> XNOR -> NOR -> NOR,7,11,4,0
2162,"NOR(XNOR(NOR(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 1]",NOR -> XNOR -> NOR -> XNOR,8,12,4,0
2163,"NOR(XNOR(NOR(NOT(A), C), D), E)","[1, 0, 1, 0, 1]",NOR -> XNOR -> NOR -> NOT,6.5,10,4,0
2164,"NOR(XNOR(NOR(BUFFER(A), C), D), E)","[0, 0, 0, 1, 0]",NOR -> XNOR -> NOR -> BUFFER,5.7,9,4,0
2165,"NOR(XNOR(XNOR(AND(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> XNOR -> XNOR -> AND,8.5,12.5,4,0
2166,"NOR(XNOR(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 1]",NOR -> XNOR -> XNOR -> OR,8.5,12.5,4,0
2167,"NOR(XNOR(XNOR(XOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",NOR -> XNOR -> XNOR -> XOR,9,13,4,1
2168,"NOR(XNOR(XNOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 0]",NOR -> XNOR -> XNOR -> NAND,8,12,4,1
2169,"NOR(XNOR(XNOR(NOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",NOR -> XNOR -> XNOR -> NOR,8,12,4,0
2170,"NOR(XNOR(XNOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",NOR -> XNOR -> XNOR -> XNOR,9,13,4,0
2171,"NOR(XNOR(XNOR(NOT(A), C), D), E)","[1, 1, 1, 0, 1]",NOR -> XNOR -> XNOR -> NOT,7.5,11,4,0
2172,"NOR(XNOR(XNOR(BUFFER(A), C), D), E)","[1, 1, 0, 0, 1]",NOR -> XNOR -> XNOR -> BUFFER,6.7,10,4,0
2173,"NOR(XNOR(NOT(AND(A, B)), D), E)","[0, 0, 0, 1, 1]",NOR -> XNOR -> NOT -> AND,7,10.5,4,0
2174,"NOR(XNOR(NOT(OR(A, B)), D), E)","[0, 0, 0, 1, 0]",NOR -> XNOR -> NOT -> OR,7,10.5,4,0
2175,"NOR(XNOR(NOT(XOR(A, B)), D), E)","[0, 1, 1, 1, 1]",NOR -> XNOR -> NOT -> XOR,7.5,11,4,0
2176,"NOR(XNOR(NOT(NAND(A, B)), D), E)","[0, 0, 1, 1, 0]",NOR -> XNOR -> NOT -> NAND,6.5,10,4,1
2177,"NOR(XNOR(NOT(NOR(A, B)), D), E)","[0, 1, 1, 0, 0]",NOR -> XNOR -> NOT -> NOR,6.5,10,4,1
2178,"NOR(XNOR(NOT(XNOR(A, B)), D), E)","[1, 0, 0, 0, 1]",NOR -> XNOR -> NOT -> XNOR,7.5,11,4,0
2179,"NOR(XNOR(BUFFER(AND(A, B)), D), E)","[1, 1, 1, 0, 1]",NOR -> XNOR -> BUFFER -> AND,6.2,9.5,4,0
2180,"NOR(XNOR(BUFFER(OR(A, B)), D), E)","[1, 0, 0, 1, 1]",NOR -> XNOR -> BUFFER -> OR,6.2,9.5,4,0
2181,"NOR(XNOR(BUFFER(XOR(A, B)), D), E)","[1, 1, 0, 1, 0]",NOR -> XNOR -> BUFFER -> XOR,6.7,10,4,1
2182,"NOR(XNOR(BUFFER(NAND(A, B)), D), E)","[0, 1, 1, 1, 1]",NOR -> XNOR -> BUFFER -> NAND,5.7,9,4,0
2183,"NOR(XNOR(BUFFER(NOR(A, B)), D), E)","[0, 1, 0, 1, 1]",NOR -> XNOR -> BUFFER -> NOR,5.7,9,4,0
2184,"NOR(XNOR(BUFFER(XNOR(A, B)), D), E)","[0, 0, 1, 1, 0]",NOR -> XNOR -> BUFFER -> XNOR,6.7,10,4,0
2185,"NOR(NOT(AND(AND(A, B), C)), E)","[0, 1, 0, 0, 1]",NOR -> NOT -> AND -> AND,6.5,10,4,0
2186,"NOR(NOT(AND(OR(A, B), C)), E)","[1, 1, 0, 0, 1]",NOR -> NOT -> AND -> OR,6.5,10,4,0
2187,"NOR(NOT(AND(XOR(A, B), C)), E)","[0, 0, 0, 0, 0]",NOR -> NOT -> AND -> XOR,7,10.5,4,0
2188,"NOR(NOT(AND(NAND(A, B), C)), E)","[1, 0, 1, 0, 1]",NOR -> NOT -> AND -> NAND,6,9.5,4,0
2189,"NOR(NOT(AND(NOR(A, B), C)), E)","[1, 0, 0, 1, 0]",NOR -> NOT -> AND -> NOR,6,9.5,4,0
2190,"NOR(NOT(AND(XNOR(A, B), C)), E)","[0, 1, 1, 1, 0]",NOR -> NOT -> AND -> XNOR,7,10.5,4,0
2191,"NOR(NOT(AND(NOT(A), C)), E)","[1, 0, 0, 0, 1]",NOR -> NOT -> AND -> NOT,5.5,8.5,4,0
2192,"NOR(NOT(AND(BUFFER(A), C)), E)","[0, 1, 1, 0, 0]",NOR -> NOT -> AND -> BUFFER,4.7,7.5,4,0
2193,"NOR(NOT(OR(AND(A, B), C)), E)","[0, 1, 1, 0, 0]",NOR -> NOT -> OR -> AND,6.5,10,4,1
2194,"NOR(NOT(OR(OR(A, B), C)), E)","[0, 0, 1, 1, 0]",NOR -> NOT -> OR -> OR,6.5,10,4,1
2195,"NOR(NOT(OR(XOR(A, B), C)), E)","[0, 1, 0, 0, 0]",NOR -> NOT -> OR -> XOR,7,10.5,4,1
2196,"NOR(NOT(OR(NAND(A, B), C)), E)","[1, 0, 1, 1, 1]",NOR -> NOT -> OR -> NAND,6,9.5,4,0
2197,"NOR(NOT(OR(NOR(A, B), C)), E)","[0, 1, 0, 1, 0]",NOR -> NOT -> OR -> NOR,6,9.5,4,0
2198,"NOR(NOT(OR(XNOR(A, B), C)), E)","[1, 0, 1, 0, 1]",NOR -> NOT -> OR -> XNOR,7,10.5,4,0
2199,"NOR(NOT(OR(NOT(A), C)), E)","[1, 0, 1, 1, 1]",NOR -> NOT -> OR -> NOT,5.5,8.5,4,0
2200,"NOR(NOT(OR(BUFFER(A), C)), E)","[0, 1, 1, 0, 1]",NOR -> NOT -> OR -> BUFFER,4.7,7.5,4,0
2201,"NOR(NOT(XOR(AND(A, B), C)), E)","[0, 1, 0, 0, 1]",NOR -> NOT -> XOR -> AND,7,10.5,4,0
2202,"NOR(NOT(XOR(OR(A, B), C)), E)","[0, 0, 0, 1, 1]",NOR -> NOT -> XOR -> OR,7,10.5,4,0
2203,"NOR(NOT(XOR(XOR(A, B), C)), E)","[0, 0, 0, 0, 0]",NOR -> NOT -> XOR -> XOR,7.5,11,4,0
2204,"NOR(NOT(XOR(NAND(A, B), C)), E)","[1, 0, 1, 0, 1]",NOR -> NOT -> XOR -> NAND,6.5,10,4,0
2205,"NOR(NOT(XOR(NOR(A, B), C)), E)","[1, 1, 1, 0, 0]",NOR -> NOT -> XOR -> NOR,6.5,10,4,1
2206,"NOR(NOT(XOR(XNOR(A, B), C)), E)","[1, 0, 0, 0, 1]",NOR -> NOT -> XOR -> XNOR,7.5,11,4,0
2207,"NOR(NOT(XOR(NOT(A), C)), E)","[0, 1, 1, 0, 1]",NOR -> NOT -> XOR -> NOT,6,9,4,0
2208,"NOR(NOT(XOR(BUFFER(A), C)), E)","[1, 0, 1, 0, 1]",NOR -> NOT -> XOR -> BUFFER,5.2,8,4,0
2209,"NOR(NOT(NAND(AND(A, B), C)), E)","[0, 0, 0, 1, 1]",NOR -> NOT -> NAND -> AND,6,9.5,4,0
2210,"NOR(NOT(NAND(OR(A, B), C)), E)","[1, 1, 0, 1, 1]",NOR -> NOT -> NAND -> OR,6,9.5,4,0
2211,"NOR(NOT(NAND(XOR(A, B), C)), E)","[1, 1, 1, 0, 1]",NOR -> NOT -> NAND -> XOR,6.5,10,4,0
2212,"NOR(NOT(NAND(NAND(A, B), C)), E)","[1, 0, 1, 1, 1]",NOR -> NOT -> NAND -> NAND,5.5,9,4,0
2213,"NOR(NOT(NAND(NOR(A, B), C)), E)","[0, 1, 1, 1, 0]",NOR -> NOT -> NAND -> NOR,5.5,9,4,1
2214,"NOR(NOT(NAND(XNOR(A, B), C)), E)","[0, 0, 0, 1, 1]",NOR -> NOT -> NAND -> XNOR,6.5,10,4,0
2215,"NOR(NOT(NAND(NOT(A), C)), E)","[0, 0, 0, 1, 1]",NOR -> NOT -> NAND -> NOT,5,8,4,0
2216,"NOR(NOT(NAND(BUFFER(A), C)), E)","[0, 0, 0, 1, 0]",NOR -> NOT -> NAND -> BUFFER,4.2,7,4,1
2217,"NOR(NOT(NOR(AND(A, B), C)), E)","[1, 0, 0, 0, 0]",NOR -> NOT -> NOR -> AND,6,9.5,4,1
2218,"NOR(NOT(NOR(OR(A, B), C)), E)","[1, 1, 1, 0, 0]",NOR -> NOT -> NOR -> OR,6,9.5,4,0
2219,"NOR(NOT(NOR(XOR(A, B), C)), E)","[0, 1, 0, 0, 1]",NOR -> NOT -> NOR -> XOR,6.5,10,4,0
2220,"NOR(NOT(NOR(NAND(A, B), C)), E)","[0, 0, 0, 0, 0]",NOR -> NOT -> NOR -> NAND,5.5,9,4,0
2221,"NOR(NOT(NOR(NOR(A, B), C)), E)","[1, 0, 1, 1, 0]",NOR -> NOT -> NOR -> NOR,5.5,9,4,0
2222,"NOR(NOT(NOR(XNOR(A, B), C)), E)","[0, 0, 0, 1, 0]",NOR -> NOT -> NOR -> XNOR,6.5,10,4,0
2223,"NOR(NOT(NOR(NOT(A), C)), E)","[0, 1, 1, 1, 1]",NOR -> NOT -> NOR -> NOT,5,8,4,0
2224,"NOR(NOT(NOR(BUFFER(A), C)), E)","[1, 1, 1, 1, 0]",NOR -> NOT -> NOR -> BUFFER,4.2,7,4,0
2225,"NOR(NOT(XNOR(AND(A, B), C)), E)","[1, 1, 1, 0, 0]",NOR -> NOT -> XNOR -> AND,7,10.5,4,1
2226,"NOR(NOT(XNOR(OR(A, B), C)), E)","[1, 0, 0, 0, 0]",NOR -> NOT -> XNOR -> OR,7,10.5,4,0
2227,"NOR(NOT(XNOR(XOR(A, B), C)), E)","[1, 0, 0, 0, 0]",NOR -> NOT -> XNOR -> XOR,7.5,11,4,0
2228,"NOR(NOT(XNOR(NAND(A, B), C)), E)","[0, 0, 1, 1, 0]",NOR -> NOT -> XNOR -> NAND,6.5,10,4,1
2229,"NOR(NOT(XNOR(NOR(A, B), C)), E)","[0, 1, 0, 1, 0]",NOR -> NOT -> XNOR -> NOR,6.5,10,4,1
2230,"NOR(NOT(XNOR(XNOR(A, B), C)), E)","[0, 0, 0, 1, 1]",NOR -> NOT -> XNOR -> XNOR,7.5,11,4,0
2231,"NOR(NOT(XNOR(NOT(A), C)), E)","[0, 1, 1, 1, 1]",NOR -> NOT -> XNOR -> NOT,6,9,4,0
2232,"NOR(NOT(XNOR(BUFFER(A), C)), E)","[1, 0, 1, 0, 1]",NOR -> NOT -> XNOR -> BUFFER,5.2,8,4,0
2233,"NOR(BUFFER(AND(AND(A, B), C)), E)","[0, 1, 0, 0, 0]",NOR -> BUFFER -> AND -> AND,5.7,9,4,1
2234,"NOR(BUFFER(AND(OR(A, B), C)), E)","[0, 1, 0, 0, 0]",NOR -> BUFFER -> AND -> OR,5.7,9,4,1
2235,"NOR(BUFFER(AND(XOR(A, B), C)), E)","[1, 0, 1, 0, 1]",NOR -> BUFFER -> AND -> XOR,6.2,9.5,4,0
2236,"NOR(BUFFER(AND(NAND(A, B), C)), E)","[0, 1, 0, 0, 1]",NOR -> BUFFER -> AND -> NAND,5.2,8.5,4,0
2237,"NOR(BUFFER(AND(NOR(A, B), C)), E)","[1, 1, 1, 1, 0]",NOR -> BUFFER -> AND -> NOR,5.2,8.5,4,1
